metric,value
,==== FINAL COLLISION REPORT =====
time,11.15000000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,4.25939839e-12
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,4.25939839e-12
initial KE,0.01000000
final KE,0.01000000
KE error,4.25938798e-13
max area in,0.70752676
max area out,0.70752670
max area diff,5.78823004e-08
max J in,3.53763380e-05
max J out,3.53763351e-05
max J diff,2.89411501e-12
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.96334788, -0.16833098)"
particle 00 vel,"(0.09316677, -0.03633115)"
particle 00 mom,"(0.09316677, -0.03633115)"
particle 01 init pos,"(-1.10000000, 0.20000000)"
particle 01 pos,"(-0.96334788, 0.36833098)"
particle 01 vel,"(-0.09316677, 0.03633115)"
particle 01 mom,"(-0.09316677, 0.03633115)"
field samples in,5052
field samples out,5051
sum area in,1967.10646142
sum area out,1967.10646142
sum area*time in,1.96710646
sum area*time out,1.96710646
sum J in,9.83553231e-02
sum J out,9.83553231e-02
sum turn area,0.15759733
max turn area,0.00002275
max turn sweep,0.00002294
particle 00 area_in/out/diff,"(1967.10646142, 1967.10646142, 0.00000000)"
particle 00 samples_in/out,"(5052, 5051)"
particle 00 avg_area_in/out,"(0.38937183, 0.38944891)"
particle 01 area_in/out/diff,"(1967.10646142, 1967.10646142, 0.00000000)"
particle 01 samples_in/out,"(5052, 5051)"
particle 01 avg_area_in/out,"(0.38937183, 0.38944891)"
,=================================
