time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph,expectedc,shaderc,threadcount,sidelen,density,PERR,CERR
0,9293,6.08e-05,0,4.512e-06,0,0,0,0,0,0,0,0,0,0,
1,13452,0.000101,0,5.056e-06,0,0,0,0,0,0,0,0,0,0,
2,12271,6.28e-05,0,5.12e-06,0,0,0,0,0,0,0,0,0,0,
3,12596,9.66e-05,0,5.024e-06,0,0,0,0,0,0,0,0,0,0,
4,13180,0.0001917,0,4.736e-06,0,0,0,0,0,0,0,0,0,0,
5,13569,6.15e-05,0,5.088e-06,0,0,0,0,0,0,0,0,0,0,
6,12670,9.42e-05,0,4.64e-06,0,0,0,0,0,0,0,0,0,0,
7,13053,6.6e-05,0,5.056e-06,0,0,0,0,0,0,0,0,0,0,
8,12946,9.74e-05,0,4.864e-06,0,0,0,0,0,0,0,0,0,0,
9,13042,6.37e-05,0,5.152e-06,0,0,0,0,0,0,0,0,0,0,
10,12758,6.31e-05,0,5.408e-06,0,0,0,0,0,0,0,0,0,0,
11,12809,6.19e-05,0,5.536e-06,0,0,0,0,0,0,0,0,0,0,
12,12649,6.34e-05,0,6.048e-06,0,0,0,0,0,0,0,0,0,0,
13,12744,9.91e-05,0,5.408e-06,0,0,0,0,0,0,0,0,0,0,
14,12544,6.69e-05,0,5.888e-06,0,0,0,0,0,0,0,0,0,0,
15,12911,7.03e-05,0,5.472e-06,0,0,0,0,0,0,0,0,0,0,
16,13508,9.81e-05,0,5.6e-06,0,0,0,0,0,0,0,0,0,0,
17,13240,6.28e-05,0,5.312e-06,0,0,0,0,0,0,0,0,0,0,
18,12834,6.19e-05,0,4.672e-06,0,0,0,0,0,0,0,0,0,0,
19,13260,7.03e-05,0,5.184e-06,0,0,0,0,0,0,0,0,0,0,
20,12889,6.26e-05,0,5.472e-06,0,0,0,0,0,0,0,0,0,0,
21,12954,6.23e-05,0,4.896e-06,0,0,0,0,0,0,0,0,0,0,
22,13323,5.03e-05,0,4.864e-06,0,0,0,0,0,0,0,0,0,0,
23,12960,6.43e-05,0,4.896e-06,0,0,0,0,0,0,0,0,0,0,
24,12454,0.0001393,0,5.28e-06,0,0,0,0,0,0,0,0,0,0,
25,12552,6.86e-05,0,5.92e-06,0,0,0,0,0,0,0,0,0,0,
26,12889,6.2e-05,0,4.992e-06,0,0,0,0,0,0,0,0,0,0,
27,13230,9.79e-05,0,5.568e-06,0,0,0,0,0,0,0,0,0,0,
28,12599,9.96e-05,0,4.928e-06,0,0,0,0,0,0,0,0,0,0,
29,13365,6.4e-05,0,5.504e-06,0,0,0,0,0,0,0,0,0,0,
30,13303,5.82e-05,0,1.72772e+09,0,0,0,0,0,0,0,0,0,0,
31,13249,6.4e-05,0,4.704e-06,0,0,0,0,0,0,0,0,0,0,
32,13795,5.01e-05,0,5.312e-06,0,0,0,0,0,0,0,0,0,0,
33,13380,6.17e-05,0,4.96e-06,0,0,0,0,0,0,0,0,0,0,
34,13820,6.03e-05,0,4.416e-06,0,0,0,0,0,0,0,0,0,0,
35,13353,6.16e-05,0,4.48e-06,0,0,0,0,0,0,0,0,0,0,
36,13106,6.74e-05,0,5.376e-06,0,0,0,0,0,0,0,0,0,0,
37,13920,6.07e-05,0,4.512e-06,0,0,0,0,0,0,0,0,0,0,
38,13897,6.28e-05,0,4.48e-06,0,0,0,0,0,0,0,0,0,0,
39,13551,6.29e-05,0,4.352e-06,0,0,0,0,0,0,0,0,0,0,
40,13361,7.88e-05,0,4.736e-06,0,0,0,0,0,0,0,0,0,0,
41,13719,9.88e-05,0,5.184e-06,0,0,0,0,0,0,0,0,0,0,
42,12970,6.36e-05,0,4.832e-06,0,0,0,0,0,0,0,0,0,0,
43,13451,5.67e-05,0,5.216e-06,0,0,0,0,0,0,0,0,0,0,
44,13425,7.78e-05,0,4.64e-06,0,0,0,0,0,0,0,0,0,0,
45,13235,6.17e-05,0,5.344e-06,0,0,0,0,0,0,0,0,0,0,
46,13549,6.5e-05,0,4.832e-06,0,0,0,0,0,0,0,0,0,0,
47,13579,0.0001032,0,5.024e-06,0,0,0,0,0,0,0,0,0,0,
48,13569,7.84e-05,0,4.48e-06,0,0,0,0,0,0,0,0,0,0,
49,13522,6.13e-05,0,4.768e-06,0,0,0,0,0,0,0,0,0,0,
50,13640,6.18e-05,0,5.088e-06,0,0,0,0,0,0,0,0,0,0,
51,13267,6.41e-05,0,4.512e-06,0,0,0,0,0,0,0,0,0,0,
52,13376,6.47e-05,0,5.44e-06,0,0,0,0,0,0,0,0,0,0,
53,13079,4.41e-05,0,5.504e-06,0,0,0,0,0,0,0,0,0,0,
54,13510,6.3e-05,0,5.088e-06,0,0,0,0,0,0,0,0,0,0,
55,13062,6.44e-05,0,4.8e-06,0,0,0,0,0,0,0,0,0,0,
56,13000,6.25e-05,0,5.6e-06,0,0,0,0,0,0,0,0,0,0,
57,12944,0.0001512,0,5.44e-06,0,0,0,0,0,0,0,0,0,0,
58,13240,7.96e-05,0,5.088e-06,0,0,0,0,0,0,0,0,0,0,
59,12499,0.0001135,0,4.768e-06,0,0,0,0,0,0,0,0,0,0,
60,13717,6.59e-05,0,4.864e-06,0,0,0,0,0,0,0,0,0,0,
