P,a,r,sum
0,0,0,0
0,0.0001,0.001,0.0011
0,0.0004,0.002,0.0024
0,0.0009,0.003,0.0039
0,0.0016,0.004,0.0056
0,0.0025,0.005,0.0075
0,0.0036,0.006,0.0096
0,0.0049,0.007,0.0119
0,0.0064,0.008,0.0144
0,0.0081,0.009,0.0171
0,0.01,0.01,0.02
0,0.0121,0.011,0.0231
0,0.0144,0.012,0.0264
0,0.0169,0.013,0.0299
0,0.0196,0.014,0.0336
0,0.0225,0.015,0.0375
0,0.0256,0.016,0.0416
0,0.0289,0.017,0.0459
0,0.0324,0.018,0.0504
0,0.0361,0.019,0.0551
0,0.04,0.02,0.06
0,0.0441,0.021,0.0651
0,0.0484,0.022,0.0704
0,0.0529,0.023,0.0759
0,0.0576,0.024,0.0816
0,0.0625,0.025,0.0875
0,0.0676,0.026,0.0936
0,0.0729,0.027,0.0999
0,0.0784,0.028,0.1064
0,0.0841,0.029,0.1131
0,0.09,0.03,0.12
0,0.0961,0.031,0.1271
0,0.1024,0.032,0.1344
0,0.1089,0.033,0.1419
0,0.1156,0.034,0.1496
0,0.1225,0.035,0.1575
0,0.1296,0.036,0.1656
0,0.1369,0.037,0.1739
0,0.1444,0.038,0.1824
0,0.1521,0.039,0.1911
0,0.16,0.04,0.2
0,0.1681,0.041,0.2091
0,0.1764,0.042,0.2184
0,0.1849,0.043,0.2279
0,0.1936,0.044,0.2376
0,0.2025,0.045,0.2475
0,0.2116,0.046,0.2576
0,0.2209,0.047,0.2679
0,0.2304,0.048,0.2784
0,0.2401,0.049,0.2891
0,0.25,0.05,0.3
0,0.2601,0.051,0.3111
0,0.2704,0.052,0.3224
0,0.2809,0.053,0.3339
0,0.2916,0.054,0.3456
0,0.3025,0.055,0.3575
0,0.3136,0.056,0.3696
0,0.3249,0.057,0.3819
0,0.3364,0.058,0.3944
0,0.3481,0.059,0.4071
0,0.36,0.06,0.42
0,0.3721,0.061,0.4331
0,0.3844,0.062,0.4464
0,0.3969,0.063,0.4599
0,0.4096,0.064,0.4736
0,0.4225,0.065,0.4875
0,0.4356,0.066,0.5016
0,0.4489,0.067,0.5159
0,0.4624,0.068,0.5304
0,0.4761,0.069,0.5451
0,0.49,0.07,0.56
0,0.5041,0.071,0.5751
0,0.5184,0.072,0.5904
0,0.5329,0.073,0.6059
0,0.5476,0.074,0.6216
0,0.5625,0.075,0.6375
0,0.5776,0.076,0.6536
0,0.5929,0.077,0.6699
0,0.6084,0.078,0.6864
0,0.6241,0.079,0.7031
0,0.64,0.08,0.72
0,0.6561,0.081,0.7371
0,0.6724,0.082,0.7544
0,0.6889,0.083,0.7719
0,0.7056,0.084,0.7896
0,0.7225,0.085,0.8075
0,0.7396,0.086,0.8256
0,0.7569,0.087,0.8439
0,0.7744,0.088,0.8624
0,0.7921,0.089,0.8811
0,0.81,0.09,0.9
0,0.8281,0.091,0.9191
0,0.8464,0.092,0.9384
0,0.8649,0.093,0.9579
0,0.8836,0.094,0.9776
0,0.9025,0.095,0.9975
0,0.9216,0.096,1.0176
0,0.9409,0.097,1.0379
0,0.9604,0.098,1.0584
0,0.9801,0.099,1.0791
