N,gms,cms
32,0.000009344,0.000008416
11264,0.000020992,0.000045856
26624,0.000034816,0.00009808
36864,0.000043456,0.000133088
47104,0.000051616,0.000169472
57344,0.00005792,0.000202624
67584,0.000065664,0.000237376
77824,0.000073088,0.000276064
88064,0.00008064,0.000312224
98304,0.000088288,0.000348704
148480,0.00012304,0.000578784
214016,0.00019888,0.00101859
312320,0.000286816,0.00152794
377856,0.00034528,0.00188406
459776,0.0004208,0.00238614
525312,0.000484736,0.00279546
623616,0.000580448,0.00339542
705536,0.000774208,0.00390051
787456,0.00086176,0.00487606
934912,0.00101472,0.00533242
1098752,0.00149286,0.00651894
1262592,0.00155478,0.00783034
1426432,0.00173107,0.00883834
1590272,0.00192253,0.00939139
1754112,0.00226531,0.0108924
1917952,0.00211008,0.0118599
2081792,0.00268666,0.0128732
2245632,0.00282243,0.0138328
2409472,0.00269904,0.0149327
2573312,0.0028767,0.0159458
2737152,0.0031169,0.0169548
2900992,0.00329725,0.0178853
3064832,0.00348566,0.0188941
3228672,0.00365142,0.0200149
3392512,0.00384547,0.020962
3539968,0.00407501,0.0218135
3703808,0.00430906,0.0228245
3867648,0.00453152,0.0238387
4031488,0.00470749,0.0249143
4195328,0.00493549,0.0259171
4359168,0.0051489,0.0268509
4523008,0.00533981,0.0279688
4686848,0.00556848,0.0287943
4850688,0.00578848,0.0298944
5014528,0.00600173,0.0309723
5178368,0.00618723,0.0325689
5342208,0.0064504,0.0330003
5506048,0.00667072,0.0339319
5669888,0.00691008,0.0350345
5833728,0.00710509,0.0360453
5997568,0.00734362,0.037049
6112256,0.00749181,0.0376051
6243328,0.00766256,0.0385673
6480896,0.00797232,0.0400354
6992896,0.00865946,0.0431977
7504896,0.00916435,0.0463751
8016896,0.00989306,0.0495188
8528896,0.0106347,0.052678
9040896,0.011322,0.0558499
9552896,0.0120783,0.0591006
10064896,0.0128671,0.0621698
10474496,0.0134625,0.0647013
