n,t,T(n)
32,0.00001776,0.000000555
11264,0.000066848,5.93E-09
26624,0.000132896,4.99E-09
36864,0.000176544,4.79E-09
47104,0.000221088,4.69E-09
57344,0.000260544,4.54E-09
67584,0.00030304,4.48E-09
77824,0.000349152,4.49E-09
88064,0.000392864,4.46E-09
98304,0.000436992,4.45E-09
148480,0.000701824,4.73E-09
214016,0.00121747,5.69E-09
312320,0.001814756,5.81E-09
377856,0.00222934,5.90E-09
459776,0.00280694,6.11E-09
525312,0.003280196,6.24E-09
623616,0.003975868,6.38E-09
705536,0.004674718,6.63E-09
787456,0.00573782,7.29E-09
934912,0.00634714,6.79E-09
1098752,0.0080118,7.29E-09
1262592,0.00938512,7.43E-09
1426432,0.01056941,7.41E-09
1590272,0.01131392,7.11E-09
1754112,0.01315771,7.50E-09
1917952,0.01396998,7.28E-09
2081792,0.01555986,7.47E-09
2245632,0.01665523,7.42E-09
2409472,0.01763174,7.32E-09
2573312,0.0188225,7.31E-09
2737152,0.0200717,7.33E-09
2900992,0.02118255,7.30E-09
3064832,0.02237976,7.30E-09
3228672,0.02366632,7.33E-09
3392512,0.02480747,7.31E-09
3539968,0.02588851,7.31E-09
3703808,0.02713356,7.33E-09
3867648,0.02837022,7.34E-09
4031488,0.02962179,7.35E-09
4195328,0.03085259,7.35E-09
4359168,0.0319998,7.34E-09
4523008,0.03330861,7.36E-09
4686848,0.03436278,7.33E-09
4850688,0.03568288,7.36E-09
5014528,0.03697403,7.37E-09
5178368,0.03875613,7.48E-09
5342208,0.0394507,7.38E-09
5506048,0.04060262,7.37E-09
5669888,0.04194458,7.40E-09
5833728,0.04315039,7.40E-09
5997568,0.04439262,7.40E-09
6112256,0.04509691,7.38E-09
6243328,0.04622986,7.40E-09
6480896,0.04800772,7.41E-09
6992896,0.05185716,7.42E-09
7504896,0.05553945,7.40E-09
8016896,0.05941186,7.41E-09
8528896,0.0633127,7.42E-09
9040896,0.0671719,7.43E-09
9552896,0.0711789,7.45E-09
10064896,0.0750369,7.46E-09
10474496,0.0781638,7.46E-09
11088896,0.0847067,7.64E-09
